geoid2,white,black,amind,asian
31055007516,3117,0,0,57
31055007517,4199,14,0,0
31057962300,1981,3,0,5
31059091600,2181,0,10,0
31059091700,3511,57,19,9
31061964600,1283,0,10,2
31061964700,1858,7,0,3
31063961100,2657,7,6,0
31065963900,4803,7,61,4
31067964600,2537,0,2,0
31067964700,3584,10,8,3
31067964800,3916,5,0,33
31067964900,3461,7,0,0
31067965000,3485,12,0,43
31067965100,1932,0,12,5
31067965200,2709,7,15,0
31069952100,1960,0,0,13
31071973200,2078,13,0,0
31073967600,1937,12,22,0
31075956300,607,0,0,0
31077970900,2495,14,3,0
31079000100,2416,20,0,0
31079000200,4969,31,73,0
31079000300,6066,158,59,8
31079000400,5084,1,0,23
31079000500,4304,0,13,149
31079000600,4127,64,27,50
31079000700,3632,320,11,33
31079000800,2841,0,17,0
31079000900,4918,103,0,38
31079001000,3803,212,26,147
31079001100,3750,196,249,122
31079001200,3444,29,11,0
31079001300,2684,20,0,22
31079001400,1898,37,0,0
31081969100,1862,0,0,2
31081969200,2526,2,10,0
31081969300,4562,14,5,5
31083964200,3364,3,12,0
31085961500,1019,2,0,6
31087962700,2848,3,12,7
31089974000,1490,0,0,0
31089974100,2752,0,0,1
31089974200,1855,0,4,7
31089974300,4000,2,74,11
31091956700,680,0,2,5
31093970500,1749,0,3,0
31093970600,4432,36,35,9
31095963600,3263,0,3,0
31095963700,2896,0,0,47
31095963800,1278,5,29,0
31097967500,2020,0,0,51
31097967600,2643,279,17,0
31099966600,3628,0,3,43
31099966700,2776,4,5,0
31101000100,1389,15,2,0
31101000200,3088,0,0,0
31101000300,3471,2,41,13
31103975400,731,0,0,6
31105954500,3634,30,57,3
31107976200,3049,8,31,0
31107976300,2342,1,30,8
31107976400,2308,33,651,18
31109000100,3371,87,53,0
31109000201,4447,73,0,28
31109000202,3875,135,11,68
31109000300,2806,92,28,94
31109000400,3603,534,154,527
31109000500,1613,76,13,0
31109000600,5711,320,20,183
31109000700,1231,312,100,731
31109000800,2361,241,26,190
31109000900,3141,10,8,434
31109001001,2236,117,34,0
31109001002,1515,21,0,0
31109001003,3010,91,23,67
31109001101,4333,58,22,121
31109001102,3204,33,0,159
31109001200,5198,123,0,40
31109001301,3164,36,20,1
31109001302,2792,12,0,0
31109001400,4528,82,19,93
31109001500,3993,125,0,122
31109001600,5126,162,85,78
31109001700,3865,748,70,424
31109001800,1227,30,0,116
31109001900,790,75,0,50
31109002001,1969,300,0,131
31109002002,2039,368,54,218
31109002100,1810,62,52,77
31109002200,4335,231,162,336
31109002300,5443,66,101,81
31109002400,2979,31,11,6
31109002500,5375,124,0,126
31109002701,2693,185,237,36
31109002702,5057,29,10,85
31109002800,5317,183,9,151
31109002900,4260,308,96,367
31109003001,5343,44,0,907
31109003002,2742,315,21,63
31109003003,3531,370,7,510
31109003102,5475,231,20,76
31109003103,2068,85,0,125
31109003104,4709,263,36,597
31109003202,2696,246,20,16
31109003301,4005,371,0,65
31109003302,3402,97,0,48
31109003401,5028,276,46,307
31109003402,4785,979,48,172
31109003500,96,25,26,0
31109003601,768,283,47,14
31109003604,2544,20,12,75
31109003605,2940,43,7,198
31109003607,3452,46,14,132
31109003608,963,0,0,132
31109003609,2116,0,0,68
31109003704,4683,162,12,95
31109003706,5341,148,29,216
31109003707,7301,15,0,139
31109003708,3946,9,0,261
31109003709,4774,48,13,40
31109003713,2251,58,0,57
31109003714,2132,0,0,29
31109003715,2403,0,0,44
31109003716,4243,78,0,228
31109003717,3017,2,41,19
31109003718,1710,50,0,176
31109003719,3256,111,0,121
31109003720,1275,0,0,20
31109003801,4401,106,0,37
31109003802,2739,12,0,11
31109010100,5934,0,19,22
31109010201,3368,346,23,233
31109010202,4217,20,0,12
31109010300,3796,62,4,8
31109010400,7880,39,2,29
31109983200,217,95,22,0
31111959700,3515,0,0,0
31111959800,2949,2,3,5
31111959900,4546,41,10,0
31111960200,4581,85,0,32
31111960300,4149,37,7,0
31111960400,5627,0,6,60
31111960500,4854,75,9,74
31111960600,3873,2,24,18
31113957500,724,0,0,0
31115972800,495,0,4,0
31117957900,348,0,0,0
31119960600,4898,115,95,50
31119960700,2634,30,42,37
31119960801,4598,0,0,64
31119960802,3041,141,54,9
31119960900,4276,69,251,0
31119961000,3161,25,0,0
31119961100,1904,17,3,8
31119961200,3320,2,19,0
31119961300,4666,43,131,37
31121966600,1733,10,0,5
31121966700,2619,4,6,0
31121966800,3210,27,36,5
31123952500,4819,4,27,21
31125966100,3684,4,3,0
31127968100,3449,41,19,11
31127968200,3532,19,31,22
31129960000,2309,9,0,6
31129960100,2111,9,0,4
31131966600,2056,2,12,0
31131966700,3023,0,0,0
31131966800,2913,17,0,4
31131966900,4430,0,27,52
31131967000,2866,4,1,0
31133967800,2730,0,5,0
31135959300,2925,0,0,0
31137967000,2760,6,10,10
31137967100,3143,0,0,0
31137967200,3092,5,17,22
31139979100,3820,4,16,4
31139979200,3279,2,10,13
31141965100,3918,0,0,0
31141965298,3107,1,1,12
31141965300,6882,26,0,8
31141965400,3975,0,0,0
31141965500,5643,3,39,41
31141965600,4562,60,0,0
31141965700,2699,0,0,31
31143960000,1983,0,0,2
31143960100,3233,8,8,6
31145963100,2675,0,6,0
31145963200,4918,64,24,14
31145963300,3099,28,34,30
31147964500,1611,0,56,10
31147968500,1979,7,6,4
31147968600,4321,7,25,10
31149974600,1496,12,0,5
31151960600,6682,176,38,0
31151960700,2209,8,8,20
31151960800,1635,5,0,10
31151960900,2814,1,2,65
31153010103,3930,314,44,29
31153010104,1593,74,42,48
31153010105,2335,152,0,241
31153010106,3677,539,58,10
31153010107,2806,107,113,104
31153010108,2592,333,34,83
31153010203,4098,151,5,149
31153010204,2892,67,0,15
31153010205,4696,295,21,90
31153010206,3670,384,0,130
31153010207,1670,144,0,76
31153010208,2315,168,0,50
31153010302,847,173,8,22
31153010305,1486,84,97,8
31153010306,1829,85,0,4
31153010401,2336,257,9,93
31153010402,4090,551,41,93
31153010501,5177,326,43,130
31153010502,4202,36,45,46
31153010503,2921,95,8,42
31153010614,4731,345,14,151
