geoid,geoid2,geoname,totalpop,maroferror
1400000US31047968600,31047968600,"Census Tract 9686, Dawson County, Nebraska",1540,142
1400000US31049955400,31049955400,"Census Tract 9554, Deuel County, Nebraska",1962,0
1400000US31051977600,31051977600,"Census Tract 9776, Dixon County, Nebraska",2678,124
1400000US31051977800,31051977800,"Census Tract 9778, Dixon County, Nebraska",3304,124
1400000US31053963600,31053963600,"Census Tract 9636, Dodge County, Nebraska",5139,269
1400000US31053963700,31053963700,"Census Tract 9637, Dodge County, Nebraska",2705,185
1400000US31053963800,31053963800,"Census Tract 9638, Dodge County, Nebraska",5139,364
1400000US31053963900,31053963900,"Census Tract 9639, Dodge County, Nebraska",3728,278
1400000US31053964000,31053964000,"Census Tract 9640, Dodge County, Nebraska",3432,209
1400000US31053964100,31053964100,"Census Tract 9641, Dodge County, Nebraska",4260,212
1400000US31053964200,31053964200,"Census Tract 9642, Dodge County, Nebraska",4014,256
1400000US31053964300,31053964300,"Census Tract 9643, Dodge County, Nebraska",4915,266
1400000US31053964400,31053964400,"Census Tract 9644, Dodge County, Nebraska",3258,361
1400000US31055000200,31055000200,"Census Tract 2, Douglas County, Nebraska",3580,384
1400000US31055000300,31055000300,"Census Tract 3, Douglas County, Nebraska",2489,266
1400000US31055000400,31055000400,"Census Tract 4, Douglas County, Nebraska",2538,394
1400000US31055000500,31055000500,"Census Tract 5, Douglas County, Nebraska",2080,345
1400000US31055000600,31055000600,"Census Tract 6, Douglas County, Nebraska",1426,266
1400000US31055000700,31055000700,"Census Tract 7, Douglas County, Nebraska",1158,218
1400000US31055000800,31055000800,"Census Tract 8, Douglas County, Nebraska",2040,328
1400000US31055001100,31055001100,"Census Tract 11, Douglas County, Nebraska",2734,305
1400000US31055001200,31055001200,"Census Tract 12, Douglas County, Nebraska",2709,422
1400000US31055001600,31055001600,"Census Tract 16, Douglas County, Nebraska",2351,416
1400000US31055001800,31055001800,"Census Tract 18, Douglas County, Nebraska",3442,293
1400000US31055001900,31055001900,"Census Tract 19, Douglas County, Nebraska",1276,185
1400000US31055002000,31055002000,"Census Tract 20, Douglas County, Nebraska",4052,522
1400000US31055002100,31055002100,"Census Tract 21, Douglas County, Nebraska",2191,332
1400000US31055002200,31055002200,"Census Tract 22, Douglas County, Nebraska",1129,215
1400000US31055002300,31055002300,"Census Tract 23, Douglas County, Nebraska",2435,260
1400000US31055002400,31055002400,"Census Tract 24, Douglas County, Nebraska",3439,456
1400000US31055002500,31055002500,"Census Tract 25, Douglas County, Nebraska",2620,341
1400000US31055002600,31055002600,"Census Tract 26, Douglas County, Nebraska",2492,392
1400000US31055002700,31055002700,"Census Tract 27, Douglas County, Nebraska",2362,328
1400000US31055002800,31055002800,"Census Tract 28, Douglas County, Nebraska",2985,331
1400000US31055002900,31055002900,"Census Tract 29, Douglas County, Nebraska",5097,591
1400000US31055003000,31055003000,"Census Tract 30, Douglas County, Nebraska",6546,860
1400000US31055003100,31055003100,"Census Tract 31, Douglas County, Nebraska",3635,282
1400000US31055003200,31055003200,"Census Tract 32, Douglas County, Nebraska",2735,392
1400000US31055003300,31055003300,"Census Tract 33, Douglas County, Nebraska",2677,286
1400000US31055003401,31055003401,"Census Tract 34.01, Douglas County, Nebraska",4019,523
1400000US31055003402,31055003402,"Census Tract 34.02, Douglas County, Nebraska",2529,137
1400000US31055003500,31055003500,"Census Tract 35, Douglas County, Nebraska",4546,298
1400000US31055003600,31055003600,"Census Tract 36, Douglas County, Nebraska",4075,249
1400000US31055003700,31055003700,"Census Tract 37, Douglas County, Nebraska",2552,246
1400000US31055003800,31055003800,"Census Tract 38, Douglas County, Nebraska",3877,389
1400000US31055003900,31055003900,"Census Tract 39, Douglas County, Nebraska",2888,502
1400000US31055004000,31055004000,"Census Tract 40, Douglas County, Nebraska",2951,432
1400000US31055004200,31055004200,"Census Tract 42, Douglas County, Nebraska",1764,263
1400000US31055004300,31055004300,"Census Tract 43, Douglas County, Nebraska",2912,332
1400000US31055004400,31055004400,"Census Tract 44, Douglas County, Nebraska",1174,110
1400000US31055004500,31055004500,"Census Tract 45, Douglas County, Nebraska",2997,198
1400000US31055004600,31055004600,"Census Tract 46, Douglas County, Nebraska",2619,199
1400000US31055004700,31055004700,"Census Tract 47, Douglas County, Nebraska",2804,216
1400000US31055004800,31055004800,"Census Tract 48, Douglas County, Nebraska",4852,637
1400000US31055004900,31055004900,"Census Tract 49, Douglas County, Nebraska",4421,514
1400000US31055005000,31055005000,"Census Tract 50, Douglas County, Nebraska",3902,542
1400000US31055005100,31055005100,"Census Tract 51, Douglas County, Nebraska",2493,405
1400000US31055005200,31055005200,"Census Tract 52, Douglas County, Nebraska",1468,259
1400000US31055005300,31055005300,"Census Tract 53, Douglas County, Nebraska",2017,278
1400000US31055005400,31055005400,"Census Tract 54, Douglas County, Nebraska",3219,478
1400000US31055005500,31055005500,"Census Tract 55, Douglas County, Nebraska",5089,303
1400000US31055005600,31055005600,"Census Tract 56, Douglas County, Nebraska",4837,421
1400000US31055005700,31055005700,"Census Tract 57, Douglas County, Nebraska",4214,311
1400000US31055005800,31055005800,"Census Tract 58, Douglas County, Nebraska",3987,407
1400000US31055005901,31055005901,"Census Tract 59.01, Douglas County, Nebraska",2214,321
1400000US31055005902,31055005902,"Census Tract 59.02, Douglas County, Nebraska",1950,450
1400000US31055006000,31055006000,"Census Tract 60, Douglas County, Nebraska",4008,471
1400000US31055006101,31055006101,"Census Tract 61.01, Douglas County, Nebraska",2047,342
1400000US31055006102,31055006102,"Census Tract 61.02, Douglas County, Nebraska",4164,524
1400000US31055006202,31055006202,"Census Tract 62.02, Douglas County, Nebraska",4546,457
1400000US31055006301,31055006301,"Census Tract 63.01, Douglas County, Nebraska",2584,218
1400000US31055006302,31055006302,"Census Tract 63.02, Douglas County, Nebraska",4508,411
1400000US31055006303,31055006303,"Census Tract 63.03, Douglas County, Nebraska",2957,321
1400000US31055006400,31055006400,"Census Tract 64, Douglas County, Nebraska",4861,353
1400000US31055006503,31055006503,"Census Tract 65.03, Douglas County, Nebraska",2699,192
1400000US31055006504,31055006504,"Census Tract 65.04, Douglas County, Nebraska",3437,232
1400000US31055006505,31055006505,"Census Tract 65.05, Douglas County, Nebraska",1927,178
1400000US31055006506,31055006506,"Census Tract 65.06, Douglas County, Nebraska",3615,374
1400000US31055006602,31055006602,"Census Tract 66.02, Douglas County, Nebraska",5762,422
1400000US31055006603,31055006603,"Census Tract 66.03, Douglas County, Nebraska",2833,432
1400000US31055006604,31055006604,"Census Tract 66.04, Douglas County, Nebraska",3972,271
1400000US31055006701,31055006701,"Census Tract 67.01, Douglas County, Nebraska",3824,287
1400000US31055006703,31055006703,"Census Tract 67.03, Douglas County, Nebraska",3176,294
