geoid,geoid2,geoname,totalpop,maroferror
1400000US31109002701,31109002701,"Census Tract 27.01, Lancaster County, Nebraska",3396,428
1400000US31109002702,31109002702,"Census Tract 27.02, Lancaster County, Nebraska",5368,300
1400000US31109002800,31109002800,"Census Tract 28, Lancaster County, Nebraska",5739,291
1400000US31109002900,31109002900,"Census Tract 29, Lancaster County, Nebraska",5239,514
1400000US31109003001,31109003001,"Census Tract 30.01, Lancaster County, Nebraska",6423,321
1400000US31109003002,31109003002,"Census Tract 30.02, Lancaster County, Nebraska",3262,260
1400000US31109003003,31109003003,"Census Tract 30.03, Lancaster County, Nebraska",4663,383
1400000US31109003102,31109003102,"Census Tract 31.02, Lancaster County, Nebraska",5852,423
1400000US31109003103,31109003103,"Census Tract 31.03, Lancaster County, Nebraska",2495,339
1400000US31109003104,31109003104,"Census Tract 31.04, Lancaster County, Nebraska",5944,473
1400000US31109003202,31109003202,"Census Tract 32.02, Lancaster County, Nebraska",3144,356
1400000US31109003301,31109003301,"Census Tract 33.01, Lancaster County, Nebraska",4544,513
1400000US31109003302,31109003302,"Census Tract 33.02, Lancaster County, Nebraska",3801,222
1400000US31109003401,31109003401,"Census Tract 34.01, Lancaster County, Nebraska",6011,432
1400000US31109003402,31109003402,"Census Tract 34.02, Lancaster County, Nebraska",6226,518
1400000US31109003500,31109003500,"Census Tract 35, Lancaster County, Nebraska",161,94
1400000US31109003601,31109003601,"Census Tract 36.01, Lancaster County, Nebraska",1131,162
1400000US31109003604,31109003604,"Census Tract 36.04, Lancaster County, Nebraska",2719,122
1400000US31109003605,31109003605,"Census Tract 36.05, Lancaster County, Nebraska",3280,256
1400000US31109003607,31109003607,"Census Tract 36.07, Lancaster County, Nebraska",3776,214
1400000US31109003608,31109003608,"Census Tract 36.08, Lancaster County, Nebraska",1109,135
1400000US31109003609,31109003609,"Census Tract 36.09, Lancaster County, Nebraska",2215,123
1400000US31109003704,31109003704,"Census Tract 37.04, Lancaster County, Nebraska",5110,341
1400000US31109003706,31109003706,"Census Tract 37.06, Lancaster County, Nebraska",5838,309
1400000US31109003707,31109003707,"Census Tract 37.07, Lancaster County, Nebraska",7704,383
1400000US31109003708,31109003708,"Census Tract 37.08, Lancaster County, Nebraska",4303,208
1400000US31109003709,31109003709,"Census Tract 37.09, Lancaster County, Nebraska",5149,295
1400000US31109003713,31109003713,"Census Tract 37.13, Lancaster County, Nebraska",2387,136
1400000US31109003714,31109003714,"Census Tract 37.14, Lancaster County, Nebraska",2174,329
1400000US31109003715,31109003715,"Census Tract 37.15, Lancaster County, Nebraska",2492,129
1400000US31109003716,31109003716,"Census Tract 37.16, Lancaster County, Nebraska",4673,334
1400000US31109003717,31109003717,"Census Tract 37.17, Lancaster County, Nebraska",3079,306
1400000US31109003718,31109003718,"Census Tract 37.18, Lancaster County, Nebraska",1936,161
1400000US31109003719,31109003719,"Census Tract 37.19, Lancaster County, Nebraska",3488,233
1400000US31109003720,31109003720,"Census Tract 37.20, Lancaster County, Nebraska",1337,157
1400000US31109003801,31109003801,"Census Tract 38.01, Lancaster County, Nebraska",4707,267
1400000US31109003802,31109003802,"Census Tract 38.02, Lancaster County, Nebraska",2799,273
1400000US31109010100,31109010100,"Census Tract 101, Lancaster County, Nebraska",6037,373
1400000US31109010201,31109010201,"Census Tract 102.01, Lancaster County, Nebraska",4026,472
1400000US31109010202,31109010202,"Census Tract 102.02, Lancaster County, Nebraska",4261,349
1400000US31109010300,31109010300,"Census Tract 103, Lancaster County, Nebraska",3913,208
1400000US31109010400,31109010400,"Census Tract 104, Lancaster County, Nebraska",8091,386
1400000US31109983200,31109983200,"Census Tract 9832, Lancaster County, Nebraska",346,94
1400000US31111959700,31111959700,"Census Tract 9597, Lincoln County, Nebraska",3549,210
1400000US31111959800,31111959800,"Census Tract 9598, Lincoln County, Nebraska",3105,213
1400000US31111959900,31111959900,"Census Tract 9599, Lincoln County, Nebraska",5088,420
1400000US31111960200,31111960200,"Census Tract 9602, Lincoln County, Nebraska",5057,359
1400000US31111960300,31111960300,"Census Tract 9603, Lincoln County, Nebraska",4424,398
1400000US31111960400,31111960400,"Census Tract 9604, Lincoln County, Nebraska",5901,378
1400000US31111960500,31111960500,"Census Tract 9605, Lincoln County, Nebraska",5037,305
1400000US31111960600,31111960600,"Census Tract 9606, Lincoln County, Nebraska",4051,218
1400000US31113957500,31113957500,"Census Tract 9575, Logan County, Nebraska",724,74
1400000US31115972800,31115972800,"Census Tract 9728, Loup County, Nebraska",534,83
1400000US31117957900,31117957900,"Census Tract 9579, McPherson County, Nebraska",348,68
1400000US31119960600,31119960600,"Census Tract 9606, Madison County, Nebraska",5189,265
1400000US31119960700,31119960700,"Census Tract 9607, Madison County, Nebraska",3007,237
1400000US31119960801,31119960801,"Census Tract 9608.01, Madison County, Nebraska",4694,244
1400000US31119960802,31119960802,"Census Tract 9608.02, Madison County, Nebraska",3315,180
1400000US31119960900,31119960900,"Census Tract 9609, Madison County, Nebraska",4772,371
1400000US31119961000,31119961000,"Census Tract 9610, Madison County, Nebraska",3238,291
1400000US31119961100,31119961100,"Census Tract 9611, Madison County, Nebraska",2058,305
1400000US31119961200,31119961200,"Census Tract 9612, Madison County, Nebraska",3362,214
1400000US31119961300,31119961300,"Census Tract 9613, Madison County, Nebraska",5131,270
1400000US31121966600,31121966600,"Census Tract 9666, Merrick County, Nebraska",1770,154
1400000US31121966700,31121966700,"Census Tract 9667, Merrick County, Nebraska",2634,146
1400000US31121966800,31121966800,"Census Tract 9668, Merrick County, Nebraska",3375,216
1400000US31123952500,31123952500,"Census Tract 9525, Morrill County, Nebraska",4993,0
1400000US31125966100,31125966100,"Census Tract 9661, Nance County, Nebraska",3730,0
1400000US31127968100,31127968100,"Census Tract 9681, Nemaha County, Nebraska",3597,88
1400000US31127968200,31127968200,"Census Tract 9682, Nemaha County, Nebraska",3627,88
1400000US31129960000,31129960000,"Census Tract 9600, Nuckolls County, Nebraska",2345,134
1400000US31129960100,31129960100,"Census Tract 9601, Nuckolls County, Nebraska",2145,134
1400000US31131966600,31131966600,"Census Tract 9666, Otoe County, Nebraska",2089,127
1400000US31131966700,31131966700,"Census Tract 9667, Otoe County, Nebraska",3089,171
1400000US31131966800,31131966800,"Census Tract 9668, Otoe County, Nebraska",2998,205
1400000US31131966900,31131966900,"Census Tract 9669, Otoe County, Nebraska",4635,263
1400000US31131967000,31131967000,"Census Tract 9670, Otoe County, Nebraska",2918,240
1400000US31133967800,31133967800,"Census Tract 9678, Pawnee County, Nebraska",2753,0
1400000US31135959300,31135959300,"Census Tract 9593, Perkins County, Nebraska",2947,0
1400000US31137967000,31137967000,"Census Tract 9670, Phelps County, Nebraska",2817,257
1400000US31137967100,31137967100,"Census Tract 9671, Phelps County, Nebraska",3191,240
1400000US31137967200,31137967200,"Census Tract 9672, Phelps County, Nebraska",3176,203
1400000US31139979100,31139979100,"Census Tract 9791, Pierce County, Nebraska",3913,149
1400000US31139979200,31139979200,"Census Tract 9792, Pierce County, Nebraska",3318,149
1400000US31141965100,31141965100,"Census Tract 9651, Platte County, Nebraska",3940,178
1400000US31141965298,31141965298,"Census Tract 9652.98, Platte County, Nebraska",3157,186
1400000US31141965300,31141965300,"Census Tract 9653, Platte County, Nebraska",7078,428
1400000US31141965400,31141965400,"Census Tract 9654, Platte County, Nebraska",4215,359
1400000US31141965500,31141965500,"Census Tract 9655, Platte County, Nebraska",5852,296
1400000US31141965600,31141965600,"Census Tract 9656, Platte County, Nebraska",5030,401
1400000US31141965700,31141965700,"Census Tract 9657, Platte County, Nebraska",2923,314
1400000US31143960000,31143960000,"Census Tract 9600, Polk County, Nebraska",2013,117
1400000US31143960100,31143960100,"Census Tract 9601, Polk County, Nebraska",3358,117
1400000US31145963100,31145963100,"Census Tract 9631, Red Willow County, Nebraska",2727,196
1400000US31145963200,31145963200,"Census Tract 9632, Red Willow County, Nebraska",5031,278
1400000US31145963300,31145963300,"Census Tract 9633, Red Willow County, Nebraska",3255,284
1400000US31147964500,31147964500,"Census Tract 9645, Richardson County, Nebraska",1730,139
1400000US31147968500,31147968500,"Census Tract 9685, Richardson County, Nebraska",2017,161
1400000US31147968600,31147968600,"Census Tract 9686, Richardson County, Nebraska",4608,149
1400000US31149974600,31149974600,"Census Tract 9746, Rock County, Nebraska",1540,114
1400000US31151960600,31151960600,"Census Tract 9606, Saline County, Nebraska",7402,149
1400000US31151960700,31151960700,"Census Tract 9607, Saline County, Nebraska",2252,193
1400000US31151960800,31151960800,"Census Tract 9608, Saline County, Nebraska",1674,161
1400000US31151960900,31151960900,"Census Tract 9609, Saline County, Nebraska",2950,162
1400000US31153010103,31153010103,"Census Tract 101.03, Sarpy County, Nebraska",4548,209
1400000US31153010104,31153010104,"Census Tract 101.04, Sarpy County, Nebraska",1963,234
1400000US31153010105,31153010105,"Census Tract 101.05, Sarpy County, Nebraska",2869,172
1400000US31153010106,31153010106,"Census Tract 101.06, Sarpy County, Nebraska",4488,422
1400000US31153010107,31153010107,"Census Tract 101.07, Sarpy County, Nebraska",3325,271
1400000US31153010108,31153010108,"Census Tract 101.08, Sarpy County, Nebraska",3375,341
1400000US31153010203,31153010203,"Census Tract 102.03, Sarpy County, Nebraska",4549,215
1400000US31153010204,31153010204,"Census Tract 102.04, Sarpy County, Nebraska",3075,295
1400000US31153010205,31153010205,"Census Tract 102.05, Sarpy County, Nebraska",5468,269
1400000US31153010206,31153010206,"Census Tract 102.06, Sarpy County, Nebraska",4445,355
1400000US31153010207,31153010207,"Census Tract 102.07, Sarpy County, Nebraska",2089,210
1400000US31153010208,31153010208,"Census Tract 102.08, Sarpy County, Nebraska",2674,167
1400000US31153010302,31153010302,"Census Tract 103.02, Sarpy County, Nebraska",1232,269
1400000US31153010305,31153010305,"Census Tract 103.05, Sarpy County, Nebraska",1752,318
1400000US31153010306,31153010306,"Census Tract 103.06, Sarpy County, Nebraska",1999,250
1400000US31153010401,31153010401,"Census Tract 104.01, Sarpy County, Nebraska",2990,289
1400000US31153010402,31153010402,"Census Tract 104.02, Sarpy County, Nebraska",4810,387
1400000US31153010501,31153010501,"Census Tract 105.01, Sarpy County, Nebraska",6220,523
1400000US31153010502,31153010502,"Census Tract 105.02, Sarpy County, Nebraska",4458,479
1400000US31153010503,31153010503,"Census Tract 105.03, Sarpy County, Nebraska",3151,261
1400000US31153010614,31153010614,"Census Tract 106.14, Sarpy County, Nebraska",5441,235
1400000US31153010615,31153010615,"Census Tract 106.15, Sarpy County, Nebraska",2108,142
1400000US31153010616,31153010616,"Census Tract 106.16, Sarpy County, Nebraska",3582,225
1400000US31153010617,31153010617,"Census Tract 106.17, Sarpy County, Nebraska",5563,290
1400000US31153010618,31153010618,"Census Tract 106.18, Sarpy County, Nebraska",5698,253
1400000US31153010619,31153010619,"Census Tract 106.19, Sarpy County, Nebraska",4732,295
1400000US31153010620,31153010620,"Census Tract 106.20, Sarpy County, Nebraska",3307,241
1400000US31153010621,31153010621,"Census Tract 106.21, Sarpy County, Nebraska",5527,284
1400000US31153010622,31153010622,"Census Tract 106.22, Sarpy County, Nebraska",2878,160
1400000US31153010623,31153010623,"Census Tract 106.23, Sarpy County, Nebraska",4233,274
1400000US31153010624,31153010624,"Census Tract 106.24, Sarpy County, Nebraska",5858,375
1400000US31153010625,31153010625,"Census Tract 106.25, Sarpy County, Nebraska",5414,352
1400000US31153010626,31153010626,"Census Tract 106.26, Sarpy County, Nebraska",5071,239
1400000US31153010627,31153010627,"Census Tract 106.27, Sarpy County, Nebraska",2807,198
1400000US31153010628,31153010628,"Census Tract 106.28, Sarpy County, Nebraska",4268,391
1400000US31153010629,31153010629,"Census Tract 106.29, Sarpy County, Nebraska",1792,158
1400000US31153010630,31153010630,"Census Tract 106.30, Sarpy County, Nebraska",2225,199
1400000US31153010631,31153010631,"Census Tract 106.31, Sarpy County, Nebraska",4380,307
1400000US31153010632,31153010632,"Census Tract 106.32, Sarpy County, Nebraska",3677,268
1400000US31153010633,31153010633,"Census Tract 106.33, Sarpy County, Nebraska",2786,192
1400000US31153010634,31153010634,"Census Tract 106.34, Sarpy County, Nebraska",2716,175
1400000US31153010701,31153010701,"Census Tract 107.01, Sarpy County, Nebraska",2384,178
1400000US31153010702,31153010702,"Census Tract 107.02, Sarpy County, Nebraska",3486,227
1400000US31155968100,31155968100,"Census Tract 9681, Saunders County, Nebraska",3368,211
1400000US31155968200,31155968200,"Census Tract 9682, Saunders County, Nebraska",5610,225
1400000US31155968300,31155968300,"Census Tract 9683, Saunders County, Nebraska",4700,125
1400000US31155968400,31155968400,"Census Tract 9684, Saunders County, Nebraska",4093,175
1400000US31155968500,31155968500,"Census Tract 9685, Saunders County, Nebraska",2925,81
1400000US31157952900,31157952900,"Census Tract 9529, Scotts Bluff County, Nebraska",3018,332
1400000US31157953000,31157953000,"Census Tract 9530, Scotts Bluff County, Nebraska",3220,307
1400000US31157953100,31157953100,"Census Tract 9531, Scotts Bluff County, Nebraska",2223,185
1400000US31157953200,31157953200,"Census Tract 9532, Scotts Bluff County, Nebraska",1503,156
1400000US31157953300,31157953300,"Census Tract 9533, Scotts Bluff County, Nebraska",3669,367
1400000US31157953400,31157953400,"Census Tract 9534, Scotts Bluff County, Nebraska",2691,203
1400000US31157953500,31157953500,"Census Tract 9535, Scotts Bluff County, Nebraska",3179,312
1400000US31157953600,31157953600,"Census Tract 9536, Scotts Bluff County, Nebraska",2869,205
1400000US31157953700,31157953700,"Census Tract 9537, Scotts Bluff County, Nebraska",4479,354
1400000US31157953800,31157953800,"Census Tract 9538, Scotts Bluff County, Nebraska",4501,311
1400000US31157953900,31157953900,"Census Tract 9539, Scotts Bluff County, Nebraska",5483,346
1400000US31159960100,31159960100,"Census Tract 9601, Seward County, Nebraska",4267,183
1400000US31159960200,31159960200,"Census Tract 9602, Seward County, Nebraska",2398,191
1400000US31159960300,31159960300,"Census Tract 9603, Seward County, Nebraska",4956,182
1400000US31159960400,31159960400,"Census Tract 9604, Seward County, Nebraska",5108,171
1400000US31161951600,31161951600,"Census Tract 9516, Sheridan County, Nebraska",2059,153
1400000US31161951700,31161951700,"Census Tract 9517, Sheridan County, Nebraska",3373,153
1400000US31163970100,31163970100,"Census Tract 9701, Sherman County, Nebraska",3133,0
1400000US31165950100,31165950100,"Census Tract 9501, Sioux County, Nebraska",1262,73
1400000US31167962100,31167962100,"Census Tract 9621, Stanton County, Nebraska",1712,156
1400000US31167962200,31167962200,"Census Tract 9622, Stanton County, Nebraska",4427,156
1400000US31169963100,31169963100,"Census Tract 9631, Thayer County, Nebraska",2708,110
1400000US31169963200,31169963200,"Census Tract 9632, Thayer County, Nebraska",2487,110
1400000US31171957100,31171957100,"Census Tract 9571, Thomas County, Nebraska",831,87
1400000US31173940100,31173940100,"Census Tract 9401, Thurston County, Nebraska",4360,210
1400000US31173940200,31173940200,"Census Tract 9402, Thurston County, Nebraska",2566,210
1400000US31175971300,31175971300,"Census Tract 9713, Valley County, Nebraska",1834,146
1400000US31175971400,31175971400,"Census Tract 9714, Valley County, Nebraska",2488,168
1400000US31177050101,31177050101,"Census Tract 501.01, Washington County, Nebraska",3484,273
1400000US31177050102,31177050102,"Census Tract 501.02, Washington County, Nebraska",5206,286
1400000US31177050201,31177050201,"Census Tract 502.01, Washington County, Nebraska",4036,219
1400000US31177050202,31177050202,"Census Tract 502.02, Washington County, Nebraska",2933,187
1400000US31177050300,31177050300,"Census Tract 503, Washington County, Nebraska",4542,188
1400000US31179978600,31179978600,"Census Tract 9786, Wayne County, Nebraska",3765,102
1400000US31179978700,31179978700,"Census Tract 9787, Wayne County, Nebraska",5777,102
1400000US31181965000,31181965000,"Census Tract 9650, Webster County, Nebraska",1968,115
1400000US31181965100,31181965100,"Census Tract 9651, Webster County, Nebraska",1805,115
1400000US31183973600,31183973600,"Census Tract 9736, Wheeler County, Nebraska",725,115
1400000US31185969600,31185969600,"Census Tract 9696, York County, Nebraska",2741,169
1400000US31185969700,31185969700,"Census Tract 9697, York County, Nebraska",4243,255
1400000US31185969800,31185969800,"Census Tract 9698, York County, Nebraska",4394,304
1400000US31185969900,31185969900,"Census Tract 9699, York County, Nebraska",2349,187
